      index (#),      time (sec),     voltage (V), petit voltage (mV)
+4.60000000e+03, +4.61957209e+01, -1.63967084e-01, +1.32894346e-01
+4.70000000e+03, +4.72007799e+01, -1.51895930e-01, +1.54362762e-01
+4.80000000e+03, +4.82056220e+01, -1.67320361e-01, +1.75604803e-01
+4.90000000e+03, +4.92108731e+01, -1.53691765e-01, +1.92138441e-01
+5.00000000e+03, +5.02158358e+01, -1.10737629e-01, +1.56671124e-01
+5.10000000e+03, +5.12208738e+01, -1.59679127e-01, +1.22975045e-01
+5.20000000e+03, +5.22247589e+01, -1.57978565e-01, +1.63129998e-01
+5.30000000e+03, +5.32286100e+01, -1.37864733e-01, +1.88854061e-01
+5.40000000e+03, +5.42333391e+01, -1.53476872e-01, +2.27359748e-01
+5.50000000e+03, +5.52380929e+01, -1.11590794e-01, +2.56386952e-01
+5.60000000e+03, +5.62425961e+01, -1.48910045e-01, +2.65191009e-01
+5.70000000e+03, +5.72479589e+01, -1.74979552e-01, +3.01819458e-01
+5.80000000e+03, +5.82524028e+01, -1.28902218e-01, +3.27535202e-01
+5.90000000e+03, +5.92571750e+01, -1.40023512e-01, +2.88587148e-01
+6.00000000e+03, +6.02613139e+01, -9.88856284e-02, +3.21198049e-01
+6.10000000e+03, +6.12631748e+01, -1.18728071e-01, +3.17812763e-01
+6.20000000e+03, +6.22681100e+01, -1.10003392e-01, +3.28856828e-01
+6.30000000e+03, +6.32730370e+01, -8.63816943e-02, +3.58092448e-01
+6.40000000e+03, +6.42769599e+01, -6.01845538e-02, +3.67230498e-01
+6.50000000e+03, +6.52807889e+01, -6.36359821e-02, +3.17724410e-01
+6.60000000e+03, +6.62860868e+01, -7.91295999e-02, +3.02755187e-01
+6.70000000e+03, +6.72909601e+01, -1.03111558e-01, +2.81556446e-01
+6.80000000e+03, +6.82959170e+01, -1.20656100e-01, +3.10709892e-01
+6.90000000e+03, +6.93009880e+01, -1.55636808e-01, +3.34851335e-01
+7.00000000e+03, +7.03045099e+01, -1.32977243e-01, +3.34224900e-01
+7.10000000e+03, +7.13093748e+01, -9.46010864e-02, +2.94629925e-01
+7.20000000e+03, +7.23144150e+01, -1.11090473e-01, +2.83993403e-01
+7.30000000e+03, +7.33197539e+01, -7.14775389e-02, +3.28120879e-01
+7.40000000e+03, +7.43216279e+01, -1.10840927e-01, +3.56496161e-01
+7.50000000e+03, +7.53224161e+01, -1.43721286e-01, +3.65365877e-01
+7.60000000e+03, +7.63228779e+01, -1.67749398e-01, +4.08330256e-01
+7.70000000e+03, +7.73245759e+01, -1.48646514e-01, +3.83937693e-01
+7.80000000e+03, +7.83286970e+01, -1.67324856e-01, +4.31231002e-01
+7.90000000e+03, +7.93310971e+01, -1.74856170e-01, +4.54563513e-01
+8.00000000e+03, +8.03316810e+01, -2.09402233e-01, +4.99152733e-01
+8.10000000e+03, +8.13322082e+01, -2.17985821e-01, +4.60263950e-01
+8.20000000e+03, +8.23347671e+01, -2.10798792e-01, +5.07373365e-01
+8.30000000e+03, +8.33395891e+01, -2.41516324e-01, +4.63320051e-01
+8.40000000e+03, +8.43453507e+01, -2.54438592e-01, +5.07955648e-01
+8.50000000e+03, +8.53507130e+01, -2.06227103e-01, +5.25148135e-01
+8.60000000e+03, +8.63521221e+01, -1.77538000e-01, +5.47697299e-01
+8.70000000e+03, +8.73559978e+01, -1.77066530e-01, +5.15618756e-01
+8.80000000e+03, +8.83584838e+01, -1.69883226e-01, +5.48632017e-01
+8.90000000e+03, +8.93598540e+01, -1.83171957e-01, +5.67373375e-01
+9.00000000e+03, +9.03612750e+01, -1.99816370e-01, +5.89377157e-01
+9.10000000e+03, +9.13630369e+01, -1.89368550e-01, +6.02592041e-01
+9.20000000e+03, +9.23649750e+01, -1.57930905e-01, +6.34671445e-01
+9.30000000e+03, +9.33657479e+01, -2.01091789e-01, +6.60368234e-01
+9.40000000e+03, +9.43706889e+01, -2.49448859e-01, +6.81681710e-01
+9.50000000e+03, +9.53712728e+01, -2.21620099e-01, +6.83315609e-01
+9.60000000e+03, +9.63732140e+01, -2.06440951e-01, +6.76857865e-01
+9.70000000e+03, +9.73772700e+01, -1.68166918e-01, +6.97435666e-01
+9.80000000e+03, +9.83788970e+01, -1.27407365e-01, +6.72426049e-01
+9.90000000e+03, +9.93823538e+01, -9.00909749e-02, +6.49162328e-01
